epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1739458224519,2025-02-13T15.50.24.519,0.393,0.244,0.793,0.061
1739458224520,2025-02-13T15.50.24.520,0.394,0.122,0.671,0.183
1739458224523,2025-02-13T15.50.24.523,0.397,0.183,0.671,0.183
1739458224526,2025-02-13T15.50.24.526,0.400,0.122,0.671,0.122
1739458224529,2025-02-13T15.50.24.529,0.403,0.183,0.793,0.061
1739458224530,2025-02-13T15.50.24.530,0.404,0.183,0.610,0.000
1739458224533,2025-02-13T15.50.24.533,0.407,-0.122,0.793,0.061
1739458224536,2025-02-13T15.50.24.536,0.410,0.061,0.915,-0.061
1739458224538,2025-02-13T15.50.24.538,0.412,0.122,0.854,-0.061
1739458224541,2025-02-13T15.50.24.541,0.415,0.000,0.732,-0.061
1739458224544,2025-02-13T15.50.24.544,0.418,-0.061,0.793,0.122
1739458224547,2025-02-13T15.50.24.547,0.421,0.000,0.854,0.061
1739458224548,2025-02-13T15.50.24.548,0.422,0.061,0.854,0.122
1739458224551,2025-02-13T15.50.24.551,0.425,0.000,0.854,0.183
1739458224554,2025-02-13T15.50.24.554,0.428,0.000,0.793,0.000
1739458224555,2025-02-13T15.50.24.555,0.429,0.061,0.793,0.000
1739458224558,2025-02-13T15.50.24.558,0.432,0.122,0.793,0.122
1739458224561,2025-02-13T15.50.24.561,0.435,0.061,0.976,0.122
1739458224564,2025-02-13T15.50.24.564,0.438,0.000,0.854,0.000
1739458224566,2025-02-13T15.50.24.566,0.440,0.122,0.732,0.061
1739458224569,2025-02-13T15.50.24.569,0.443,0.122,0.854,-0.061
1739458224571,2025-02-13T15.50.24.571,0.445,0.061,0.915,0.061
1739458224573,2025-02-13T15.50.24.573,0.447,0.000,0.854,0.122
1739458224576,2025-02-13T15.50.24.576,0.450,0.000,0.915,0.122
1739458224579,2025-02-13T15.50.24.579,0.453,-0.122,0.854,0.183
1739458224580,2025-02-13T15.50.24.580,0.454,-0.061,0.915,0.122
1739458224583,2025-02-13T15.50.24.583,0.457,-0.183,0.793,0.000
1739458224586,2025-02-13T15.50.24.586,0.460,-0.061,0.854,-0.061
1739458224589,2025-02-13T15.50.24.589,0.463,-0.061,0.854,0.122
1739458224591,2025-02-13T15.50.24.591,0.465,0.122,0.915,0.000
1739458224593,2025-02-13T15.50.24.593,0.467,0.061,0.976,0.183
1739458224596,2025-02-13T15.50.24.596,0.470,0.061,0.915,0.000
1739458224598,2025-02-13T15.50.24.598,0.472,-0.061,0.793,0.061
1739458224601,2025-02-13T15.50.24.601,0.475,0.000,0.793,0.122
1739458224604,2025-02-13T15.50.24.604,0.478,0.122,0.793,0.061
1739458224607,2025-02-13T15.50.24.607,0.481,0.000,0.976,-0.122
1739458224608,2025-02-13T15.50.24.608,0.482,0.061,0.976,-0.061
1739458224611,2025-02-13T15.50.24.611,0.485,0.183,0.915,0.122
1739458224614,2025-02-13T15.50.24.614,0.488,0.061,1.037,0.061
1739458224617,2025-02-13T15.50.24.617,0.491,-0.061,0.854,0.000
1739458224618,2025-02-13T15.50.24.618,0.492,0.122,0.915,0.061
1739458224621,2025-02-13T15.50.24.621,0.495,-0.061,0.976,0.000
1739458224624,2025-02-13T15.50.24.624,0.498,0.000,0.915,0.061
1739458224626,2025-02-13T15.50.24.626,0.500,0.183,0.976,0.061
1739458224629,2025-02-13T15.50.24.629,0.503,-0.061,1.037,0.122
1739458224632,2025-02-13T15.50.24.632,0.506,-0.061,0.976,0.000
1739458224633,2025-02-13T15.50.24.633,0.507,0.000,0.976,0.000
1739458224636,2025-02-13T15.50.24.636,0.510,0.000,0.976,0.061
1739458224639,2025-02-13T15.50.24.639,0.513,0.000,0.976,0.061
1739458224642,2025-02-13T15.50.24.642,0.516,0.305,0.976,0.122
1739458224643,2025-02-13T15.50.24.643,0.517,0.183,0.854,0.183
1739458224646,2025-02-13T15.50.24.646,0.520,0.061,0.732,0.183
1739458224649,2025-02-13T15.50.24.649,0.523,-0.122,0.976,0.000
1739458224651,2025-02-13T15.50.24.651,0.525,-0.061,0.793,0.122
1739458224654,2025-02-13T15.50.24.654,0.528,-0.122,0.854,0.122
1739458224656,2025-02-13T15.50.24.656,0.530,-0.061,0.976,0.000
1739458224659,2025-02-13T15.50.24.659,0.533,0.061,0.915,0.000
1739458224661,2025-02-13T15.50.24.661,0.535,0.061,0.793,0.000
1739458224664,2025-02-13T15.50.24.664,0.538,0.000,0.915,-0.061
1739458224667,2025-02-13T15.50.24.667,0.541,-0.183,0.976,0.061
1739458224668,2025-02-13T15.50.24.668,0.542,-0.061,0.854,0.122
1739458224671,2025-02-13T15.50.24.671,0.545,0.000,0.854,0.061
1739458224674,2025-02-13T15.50.24.674,0.548,-0.061,0.915,0.000
1739458224677,2025-02-13T15.50.24.677,0.551,0.061,0.915,0.122
1739458224678,2025-02-13T15.50.24.678,0.552,-0.061,0.915,0.061
1739458224681,2025-02-13T15.50.24.681,0.555,0.183,0.976,0.000
1739458224684,2025-02-13T15.50.24.684,0.558,0.122,0.854,0.061
1739458224686,2025-02-13T15.50.24.686,0.560,-0.122,0.915,0.183
1739458224689,2025-02-13T15.50.24.689,0.563,-0.061,1.098,0.061
1739458224692,2025-02-13T15.50.24.692,0.566,0.122,1.220,0.000
1739458224695,2025-02-13T15.50.24.695,0.569,-0.061,1.037,0.000
1739458224696,2025-02-13T15.50.24.696,0.570,0.000,0.915,0.061
1739458224699,2025-02-13T15.50.24.699,0.573,-0.061,0.976,-0.122
1739458224702,2025-02-13T15.50.24.702,0.576,-0.061,1.037,0.061
1739458224703,2025-02-13T15.50.24.703,0.577,0.061,1.037,0.061
1739458224706,2025-02-13T15.50.24.706,0.580,0.122,1.159,-0.061
1739458224709,2025-02-13T15.50.24.709,0.583,-0.122,0.976,-0.061
1739458224712,2025-02-13T15.50.24.712,0.586,-0.305,0.793,0.122
1739458224714,2025-02-13T15.50.24.714,0.588,0.122,0.976,0.122
1739458224716,2025-02-13T15.50.24.716,0.590,0.183,1.098,0.000
1739458224719,2025-02-13T15.50.24.719,0.593,-0.122,0.915,0.183
1739458224721,2025-02-13T15.50.24.721,0.595,-0.061,0.976,0.061
1739458224724,2025-02-13T15.50.24.724,0.598,0.183,1.098,-0.061
