X,Y,Z
-0.9926166157358655,-0.2475284327924902,0.0
-0.9979956416845112,-0.24858181843471366,0.0
-1.0033746676331565,-0.2496352040769371,0.0
-1.0087536935818022,-0.2506885897191606,0.0
-1.014132719530448,-0.25174197536138404,0.0
-1.0195117454790934,-0.2527953610036075,0.0
-1.024890771427739,-0.25384874664583096,0.0
-1.030267123060349,-0.2549154936940867,0.0
-1.0356372047550568,-0.2560135665785585,0.0
-1.0410072864497644,-0.2571116394630303,0.0
-1.0463773681444717,-0.25820971234750206,0.0
-1.0517474498391792,-0.25930778523197384,0.0
-1.0571137990059882,-0.2604229554893936,0.0
-1.0624529281996298,-0.2616628106910396,0.0
-1.0677920573932715,-0.26290266589268557,0.0
-1.073131186586913,-0.2641425210943315,0.0
-1.0784703157805546,-0.2653823762959775,0.0
-1.0838094449741964,-0.2666222314976235,0.0
-1.089148574167838,-0.2678620866992695,0.0
-1.0944877033614797,-0.26910194190091546,0.0
-1.0998268325551213,-0.27034179710256145,0.0
-1.105165961748763,-0.27158165230420744,0.0
-1.110501389306881,-0.272837004107313,0.0
-1.1158244790410896,-0.27414400722475657,0.0
-1.1211475687752983,-0.2754510103422002,0.0
-1.126470658509507,-0.2767580134596438,0.0
-1.1317937482437155,-0.2780650165770874,0.0
-1.137116086426032,-0.27937495936770995,0.0
-1.142413312292777,-0.28078312824399293,0.0
-1.147710538159522,-0.2821912971202759,0.0
-1.1530077640262673,-0.2835994659965589,0.0
-1.1583049898930122,-0.2850076348728418,0.0
-1.1636022157597572,-0.2864158037491248,0.0
-1.1688994416265024,-0.28782397262540776,0.0
-1.1741966674932474,-0.2892321415016907,0.0
-1.1794938933599923,-0.29064031037797367,0.0
-1.1847911192267375,-0.29204847925425664,0.0
-1.1900883450934827,-0.2934566481305396,0.0
-1.1953826864551655,-0.29487545446139635,0.0
-1.200665639257898,-0.296336259428373,0.0
-1.205948592060631,-0.2977970643953497,0.0
-1.2112315448633637,-0.29925786936232646,0.0
-1.2165144976660962,-0.3007186743293031,0.0
-1.2217960300059114,-0.302184503479533,0.0
-1.2270617990737722,-0.30370608738829596,0.0
-1.232327568141633,-0.30522767129705886,0.0
-1.2375933372094938,-0.3067492552058218,0.0
-1.2428591062773544,-0.30827083911458464,0.0
-1.2481239781657771,-0.30979538573363974,0.0
-1.2533492394678616,-0.31145073638905546,0.0
-1.2585745007699456,-0.3131060870444711,0.0
-1.26379976207203,-0.3147614376998868,0.0
-1.2690250233741145,-0.3164167883553025,0.0
-1.2742502846761987,-0.31807213901071824,0.0
-1.2794755459782832,-0.31972748966613396,0.0
-1.2847008072803674,-0.32138284032154957,0.0
-1.2899260685824516,-0.3230381909769653,0.0
-1.295151329884536,-0.32469354163238096,0.0
-1.3003402374945754,-0.326458509258487,0.0
-1.3055191457783033,-0.32825362776604555,0.0
-1.3106980540620312,-0.3300487462736041,0.0
-1.3158769623457593,-0.3318438647811626,0.0
-1.3210558706294873,-0.33363898328872116,0.0
-1.326234778913215,-0.33543410179627964,0.0
-1.331413687196943,-0.3372292203038382,0.0
-1.336592595480671,-0.3390243388113967,0.0
-1.341771503764399,-0.3408194573189552,0.0
