Timestamp,Acc x (g),Acc y (g),Acc z (g),Gyro x (deg/s),Gyro y (deg/s),Gyro z (deg/s),Beccheggio/Pitch (deg/s),Rollio/Roll (deg/s),Imbardata/Yaw (deg/s),Mag x (microTesla),Mag y (microTesla),Mag z (microTesla),Pressione (milliBar),Altitudine (m)
0.773,0.162,-0.151,0.943,3.537,-1.951,-3.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.782,0.1625,-0.151,0.95,3.78,-3.659,-4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.792,0.163,-0.151,0.957,3.963,-3.049,-4.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.803,0.163,-0.152,0.9584999999999999,4.329,-1.646,-4.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.813,0.163,-0.153,0.96,2.927,-1.585,-4.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.823,0.166,-0.154,0.96,1.341,-2.134,-2.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.833,0.18,-0.167,0.967,-0.366,-0.61,-0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.844,0.176,-0.163,0.9635,-1.646,0.244,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.852,0.172,-0.159,0.96,-1.646,-0.244,0.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.863,0.168,-0.155,0.9564999999999999,-0.549,0.793,1.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.873,0.164,-0.151,0.953,0.732,1.768,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.883,0.166,-0.149,0.952,1.829,2.439,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.894,0.164,-0.1515,0.9544999999999999,2.5,2.866,-0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.904,0.162,-0.154,0.957,3.232,3.476,-0.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.914,0.159,-0.152,0.947,3.537,3.659,-1.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.923,0.156,-0.149,0.9405,3.598,2.805,-3.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.933,0.153,-0.146,0.934,3.476,1.341,-5.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.943,0.159,-0.147,0.926,4.024,0.366,-7.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.954,0.16899999999999998,-0.1565,0.9430000000000001,5.122,1.646,-12.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.964,0.179,-0.166,0.96,5.366,5.366,-8.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.974,0.194,-0.187,0.967,10.305,9.329,-1.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.984,0.195,-0.188,0.963,14.695,18.049,2.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.993,0.17099999999999999,-0.1615,0.9595,11.037,16.89,1.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.003,0.147,-0.135,0.956,5.366,10.305,0.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.014,0.1495,-0.1385,0.952,2.622,8.415,2.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.024,0.152,-0.142,0.948,2.622,7.256,1.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.034,0.149,-0.146,0.945,3.232,5.915,2.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.044,0.152,-0.138,0.943,3.902,4.939,2.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.055,0.1495,-0.1365,0.948,3.963,3.78,2.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.063,0.147,-0.135,0.953,2.378,2.256,1.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.074,0.1445,-0.1335,0.958,-0.549,-0.488,1.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.084,0.142,-0.132,0.963,-3.902,-3.72,1.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.094,0.148,-0.134,0.968,-5.976,-4.878,1.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.104,0.158,-0.142,0.971,-6.463,-4.207,2.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.115,0.1565,-0.141,0.9684999999999999,-6.768,-3.293,2.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.123,0.155,-0.14,0.966,-6.098,-3.963,2.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.134,0.1535,-0.139,0.9635,-4.39,-4.329,0.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.144,0.152,-0.138,0.961,-3.841,-3.354,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.154,0.155,-0.144,0.965,-3.476,-2.439,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.165,0.1555,-0.1455,0.959,-3.902,-2.744,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.175,0.156,-0.147,0.953,-4.939,-3.476,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.185,0.157,-0.143,0.954,-6.524,-4.207,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.194,0.157,-0.145,0.9475,-7.378,-5.671,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.204,0.157,-0.147,0.941,-6.707,-6.159,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.214,0.163,-0.15,0.95,-6.098,-5.854,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.225,0.163,-0.156,0.9584999999999999,-6.341,-5.854,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.235,0.163,-0.162,0.967,-8.049,-5.854,0.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.245,0.167,-0.165,0.969,-7.134,-5.366,0.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.255,0.164,-0.16,0.95,-3.415,-4.695,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.264,0.165,-0.154,0.9595,-1.707,-2.622,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.274,0.166,-0.148,0.969,-3.598,-1.159,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.285,0.1725,-0.15999999999999998,0.971,-5.183,-0.061,1.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.295,0.179,-0.172,0.973,-5.061,2.317,2.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.305,0.178,-0.176,0.96,-3.171,5.366,4.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.315,0.167,-0.168,0.944,-0.61,6.341,4.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.326,0.1635,-0.1565,0.9359999999999999,2.622,6.341,3.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.334,0.16,-0.145,0.928,3.598,5.854,1.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.345,0.164,-0.1525,0.9355,3.171,4.878,1.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.355,0.168,-0.16,0.943,2.927,5.061,1.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.365,0.169,-0.167,0.954,2.439,5.976,1.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.375,0.164,-0.164,0.958,1.829,6.098,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.386,0.16225,-0.162,0.955,2.012,6.098,1.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.394,0.1605,-0.16,0.952,2.927,6.951,1.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.405,0.15875,-0.158,0.949,3.659,8.232,1.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.415,0.157,-0.156,0.946,4.329,9.268,1.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.425,0.156,-0.157,0.943,4.024,8.537,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.435,0.156,-0.159,0.939,4.207,7.866,2.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.446,0.1545,-0.157,0.944,5.793,9.695,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.456,0.153,-0.155,0.949,5.549,9.695,3.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.465,0.14100000000000001,-0.148,0.948,2.988,4.939,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.475,0.129,-0.141,0.947,-0.549,0.305,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.485,0.149,-0.145,0.961,-2.378,0.244,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.496,0.1495,-0.1555,0.967,0.366,3.537,1.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.506,0.15,-0.166,0.973,0.854,4.451,2.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.516,0.143,-0.151,0.97,-1.524,2.805,2.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.526,0.141,-0.15,0.966,-3.537,1.89,2.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.535,0.1425,-0.1505,0.9624999999999999,-3.537,1.341,1.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.545,0.144,-0.151,0.959,-3.415,0.61,1.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
