time;seconds_elapsed;z;y;x;;delta_time
1,74E+18;2,364463379;-0,077348028;0,028256478;-0,035621805;;0,010069092
1,74E+18;2,374532471;-0,037243981;0,021474805;-0,001477797;;0,010067871
1,74E+18;2,384600342;0,033085108;0,005756312;0,025266507;;0,010068848
1,74E+18;2,394669189;0,077826752;0,008075448;0,045887087;;0,010069336
1,74E+18;2,404738525;0,057475453;-0,005058631;0,056745285;;0,010067627
1,74E+18;2,414806152;0,021560674;-0,007925925;0,041095999;;0,010069336
1,74E+18;2,424875488;-0,011212299;-0,001920885;0,009647102;;0,010068848
1,74E+18;2,434944336;-0,038297874;0,014648351;-0,018065005;;0,010068848
1,74E+18;2,445013184;-0,048323594;0,019296168;-0,037413166;;0,010068115
1,74E+18;2,455081299;-0,02363222;0,01905946;-0,021381564;;0,010069092
1,74E+18;2,465150391;-0,006423311;-0,001581333;0,014794048;;0,010069092
1,74E+18;2,475219482;0,027995091;-0,018822929;0,034008376;;0,010067871
1,74E+18;2,485287354;0,046101826;-0,015291138;0,039903894;;0,010069092
1,74E+18;2,495356445;0,043707624;0,003158491;0,036343012;;0,010068848
1,74E+18;2,505425293;0,022010172;0,012628139;0,019045607;;0,010068115
1,74E+18;2,515493408;-0,024826398;0,021736191;-0,001242979;;0,010068848
1,74E+18;2,525562256;-0,050114569;0,024966743;-0,028231811;;0,010069092
1,74E+18;2,535631348;-0,029165889;0,02219267;-0,02390421;;0,010068848
1,74E+18;2,545700195;-0,010909517;0,021654705;-0,017191031;;0,010067871
1,74E+18;2,555768066;0,010640052;0,005975179;0,011433577;;0,010068848
1,74E+18;2,565836914;0,030244916;-0,006619482;0,034220987;;0,010069092
1,74E+18;2,575906006;0,029797757;-0,013459621;0,044389962;;0,010067871
1,74E+18;2,585973877;0,02695815;-0,006589566;0,039317664;;0,010069092
1,74E+18;2,596042969;0,013793548;0,001036394;0,015929267;;0,010068848
1,74E+18;2,606111816;-0,007151625;0,003065662;-0,00375516;;0,010068115
1,74E+18;2,616179932;-0,031986207;0,002948319;-0,019616178;;0,010068848
1,74E+18;2,626248779;-0,034227848;0,002506101;-0,008442407;;0,010069092
1,74E+18;2,636317871;-0,023600656;-0,001943508;-0,003238498;;0,010069092
1,74E+18;2,646386963;-0,021803251;-0,009088119;0,00528121;;0,010068115
1,74E+18;2,656455078;-0,018215456;0,003346443;0,020958345;;0,010068848
1,74E+18;2,666523926;0,047626844;-0,013167232;0,029422492;;0,010068848
1,74E+18;2,676592773;0,012010756;-0,005984116;0,03182982;;0,010068359
1,74E+18;2,686661133;0,03864508;-0,022746373;0,012021585;;0,010068604
1,74E+18;2,696729736;0,006622633;-0,038310359;0,016260552;;0,010069336
1,74E+18;2,706799072;-0,009985972;-0,029268559;0,009674461;;0,010067871
1,74E+18;2,716866943;-0,011032266;-0,007015929;-0,006577931;;0,010068848
1,74E+18;2,726935791;-0,04021043;0,034057268;-0,015617336;;0,010069092
1,74E+18;2,737004883;0,010368249;0,075521036;-0,011280334;;0,010068115
1,74E+18;2,747072998;0,006628478;0,09160944;-0,00417814;;0,010068604
1,74E+18;2,757141602;0,003038929;0,063887357;0,021799422;;0,010069336
1,74E+18;2,767210938;0,007528642;0,018557492;0,023274312;;0,010069092
1,74E+18;2,777280029;0,048977089;-0,009339249;0,014190671;;0,010067871
1,74E+18;2,7873479;-0,011630817;-0,024462894;0,017874547;;0,010069092
1,74E+18;2,797416992;-0,017774142;-0,052608454;0,018477614;;0,010069092
1,74E+18;2,807486084;-0,032901568;-0,105830757;0,037137002;;0,010067871
1,74E+18;2,817553955;-0,03156009;-0,222737765;0,044705038;;0,010068848
1,74E+18;2,827622803;0,049392684;-0,551722832;0,077453763;;0,010069336
1,74E+18;2,837692139;0,030388709;-0,439603606;0,09710801;;0,010068604
1,74E+18;2,847760742;-0,011509236;-0,285336278;0,043507426;;0,010068115
1,74E+18;2,857828857;-0,002384849;-0,232285382;0,034924386;;0,010069092
1,74E+18;2,867897949;-0,051324529;-0,83877766;0,075051889;;0,010068848
1,74E+18;2,877966797;0,097712771;-0,911222937;0,112133592;;0,010068115
1,74E+18;2,888034912;-0,018712884;-0,311547756;0,018786038;;0,010069092
1,74E+18;2,898104004;0,023335867;0,050363557;-0,114125944;;0,010068848
1,74E+18;2,908172852;0,083351068;0,105447237;-0,048318187;;0,010068115
1,74E+18;2,918240967;-0,156670571;0,211738579;-0,047868269;;0,010069092
1,74E+18;2,928310059;-0,0347206;-0,045880963;-0,059507132;;0,010068848
1,74E+18;2,938378906;0,073619947;-0,392079894;-0,032272342;;0,010069092
1,74E+18;2,948447998;0,063597151;-0,359211607;0,003777192;;0,010067871
