X,Y,Z
-0.33251200475594567,-0.11069646014492227,0.0
-0.3361978955178409,-0.11182177741171911,0.0
-0.3398837862797361,-0.11294709467851596,0.0
-0.3435654232656953,-0.11408620806268982,0.0
-0.347245030357879,-0.11523190492780147,0.0
-0.35092463745006275,-0.11637760179291312,0.0
-0.35460411479764037,-0.11752370398880867,0.0
-0.35826506468095454,-0.11872768721603306,0.0
-0.3619260145642687,-0.11993167044325746,0.0
-0.3655869644475829,-0.12113565367048186,0.0
-0.36924791433089704,-0.12233963689770626,0.0
-0.3729088642142112,-0.12354362012493066,0.0
-0.3765698140975253,-0.12474760335215505,0.0
-0.3802307639808395,-0.12595158657937944,0.0
-0.3838862745696428,-0.12717194963911735,0.0
-0.38754021487434703,-0.12839704143536518,0.0
-0.39119415517905126,-0.12962213323161298,0.0
-0.3948521933420876,-0.1308348482002524,0.0
-0.3985152667808901,-0.1320323550442894,0.0
-0.40217834021969256,-0.1332298618883264,0.0
-0.405841413658495,-0.13442736873236338,0.0
-0.40950448709729753,-0.13562487557640038,0.0
-0.4131675605361,-0.13682238242043737,0.0
-0.4168382268014524,-0.1379962073599603,0.0
-0.42051471016491027,-0.13915188886357316,0.0
-0.42419119352836815,-0.140307570367186,0.0
-0.42789519593036085,-0.14136876731763007,0.0
-0.4316172615677719,-0.14236794550513185,0.0
-0.43533932720518304,-0.14336712369263363,0.0
-0.4390613928425941,-0.1443663018801354,0.0
-0.44278345848000517,-0.14536548006763722,0.0
-0.44650592730671107,-0.14636308153530644,0.0
-0.45025074388003533,-0.1472732894740389,0.0
-0.4539955604533596,-0.14818349741277137,0.0
-0.45775229867342676,-0.1490414792621588,0.0
-0.4615211457407524,-0.14984641493827605,0.0
-0.4652944563531293,-0.15062696643960116,0.0
-0.4691040560204293,-0.15120927223081693,0.0
-0.4729136556877293,-0.1517915780220327,0.0
-0.4767232553550293,-0.15237388381324846,0.0
-0.4805340598103646,-0.15294696136162203,0.0
-0.4843654678306486,-0.15336222301609984,0.0
-0.4881968758509325,-0.1537774846705776,0.0
-0.4920282838712165,-0.15419274632505542,0.0
-0.4958602689863374,-0.15460230228976693,0.0
-0.49969723137605115,-0.1549626483449665,0.0
-0.5035349617130787,-0.1553145242343835,0.0
-0.5073741664882864,-0.1556501376333986,0.0
-0.5111986463579429,-0.1561171815689135,0.0
-0.5150169356984431,-0.15663948049845342,0.0
-0.5188352250389432,-0.15716177942799334,0.0
-0.5226535143794434,-0.15768407835753326,0.0
-0.5264626704781794,-0.15826816166110713,0.0
-0.5302586538835238,-0.1589312240939313,0.0
-0.5340049716332953,-0.15981390593937012,0.0
-0.5377000861421014,-0.16090855584979186,0.0
